,exp_grp,label,exp_rep,treatment,value
122,20191003-co-culture,00.50mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),82
123,20191003-co-culture,00.50mT cells,r3,T Cell Co-Culture Titration (No Peptide),47
124,20191003-co-culture,00.50mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),69
125,20191003-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),37
126,20191003-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),33
127,20191003-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),37
128,20191003-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),37
129,20191003-co-culture,01.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),22
130,20191003-co-culture,01.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),34
131,20191003-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),34
132,20191003-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),54
133,20191003-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),52
134,20191003-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),67
135,20191003-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),50
136,20191003-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),41
137,20191003-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),48
138,20191003-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),61
139,20191003-co-culture,04.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),34
140,20191003-co-culture,04.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),51
141,20191003-co-culture,04.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),44
142,20191003-co-culture,04.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),62
