label,value,exp_grp,treatment
0.250uM STA,251.26143672706382,20190703-sta-titration,Chemical Titration
0.250uM STA,306.42091473486244,20190703-sta-titration,Chemical Titration
0.250uM STA,329.14648164977484,20190703-sta-titration,Chemical Titration
0.250uM STA,92.38938200845665,20190703-sta-titration,Chemical Titration
0.250uM STA,114.89537675561262,20190703-sta-titration,Chemical Titration
0.250uM STA,210.44800860086065,20190703-sta-titration,Chemical Titration
0.250uM STA,251.05865932600202,20190703-sta-titration,Chemical Titration
0.250uM STA,125.48875124601605,20190703-sta-titration,Chemical Titration
0.250uM STA,132.2082919870169,20190703-sta-titration,Chemical Titration
0.250uM STA,262.6385835622256,20190703-sta-titration,Chemical Titration
0.250uM STA,194.50062558555214,20190703-sta-titration,Chemical Titration
0.250uM STA,211.75080591911214,20190703-sta-titration,Chemical Titration
0.250uM STA,224.40849019893426,20190703-sta-titration,Chemical Titration
0.250uM STA,280.5650755416766,20190703-sta-titration,Chemical Titration
0.250uM STA,259.9095944467399,20190703-sta-titration,Chemical Titration
0.250uM STA,339.5652708555696,20190703-sta-titration,Chemical Titration
0.250uM STA,326.22454553136225,20190703-sta-titration,Chemical Titration
0.250uM STA,248.77626050426673,20190703-sta-titration,Chemical Titration
0.250uM STA,175.9113808007981,20190703-sta-titration,Chemical Titration
0.250uM STA,274.5835990751039,20190703-sta-titration,Chemical Titration
0.250uM STA,277.3151068766428,20190703-sta-titration,Chemical Titration
0.250uM STA,313.0311731486469,20190703-sta-titration,Chemical Titration
0.250uM STA,131.12523331572623,20190703-sta-titration,Chemical Titration
0.250uM STA,213.8568784184578,20190703-sta-titration,Chemical Titration
0.250uM STA,315.72041029719065,20190703-sta-titration,Chemical Titration
0.250uM STA,200.99090595187943,20190703-sta-titration,Chemical Titration
0.250uM STA,355.99602711934745,20190703-sta-titration,Chemical Titration
0.250uM STA,192.2885237842059,20190703-sta-titration,Chemical Titration
0.250uM STA,317.71438605546916,20190703-sta-titration,Chemical Titration
0.250uM STA,280.8916305412971,20190703-sta-titration,Chemical Titration
0.250uM STA,197.1533839975237,20190703-sta-titration,Chemical Titration
0.250uM STA,202.5055536444128,20190703-sta-titration,Chemical Titration
0.250uM STA,259.3210747215358,20190703-sta-titration,Chemical Titration
0.250uM STA,158.35948368539147,20190703-sta-titration,Chemical Titration
0.250uM STA,242.6828555569381,20190703-sta-titration,Chemical Titration
0.250uM STA,254.3237481489809,20190703-sta-titration,Chemical Titration
0.250uM STA,251.8687894060809,20190703-sta-titration,Chemical Titration
0.250uM STA,312.77074783472324,20190703-sta-titration,Chemical Titration
0.250uM STA,307.28398044408317,20190703-sta-titration,Chemical Titration
0.250uM STA,220.60894895256826,20190703-sta-titration,Chemical Titration
0.250uM STA,148.46657198997738,20190703-sta-titration,Chemical Titration
0.250uM STA,191.70494573493855,20190703-sta-titration,Chemical Titration
0.250uM STA,152.6609859356097,20190703-sta-titration,Chemical Titration
0.250uM STA,218.334808390427,20190703-sta-titration,Chemical Titration
0.250uM STA,242.976482833792,20190703-sta-titration,Chemical Titration
0.250uM STA,213.28455746794685,20190703-sta-titration,Chemical Titration
0.250uM STA,152.99423450055636,20190703-sta-titration,Chemical Titration
0.250uM STA,186.42517698286088,20190703-sta-titration,Chemical Titration
0.250uM STA,326.97305407681864,20190703-sta-titration,Chemical Titration
0.250uM STA,205.89750819643726,20190703-sta-titration,Chemical Titration
0.250uM STA,184.8889810049524,20190703-sta-titration,Chemical Titration
0.250uM STA,362.1798322060402,20190703-sta-titration,Chemical Titration
0.250uM STA,157.65035969901996,20190703-sta-titration,Chemical Titration
0.250uM STA,90.0443747319815,20190703-sta-titration,Chemical Titration
0.250uM STA,252.43433351052985,20190703-sta-titration,Chemical Titration
0.250uM STA,289.85071695582366,20190703-sta-titration,Chemical Titration
0.250uM STA,294.52209374462416,20190703-sta-titration,Chemical Titration
0.250uM STA,147.0187556450677,20190703-sta-titration,Chemical Titration
0.250uM STA,189.6751343113713,20190703-sta-titration,Chemical Titration
0.250uM STA,248.73531304937592,20190703-sta-titration,Chemical Titration
0.250uM STA,195.64936410046909,20190703-sta-titration,Chemical Titration
0.250uM STA,267.9752046795807,20190703-sta-titration,Chemical Titration
0.250uM STA,179.97559283986962,20190703-sta-titration,Chemical Titration
0.250uM STA,285.7808204857217,20190703-sta-titration,Chemical Titration
0.250uM STA,270.4722745168227,20190703-sta-titration,Chemical Titration
0.250uM STA,301.9336870954244,20190703-sta-titration,Chemical Titration
0.250uM STA,192.65897126300518,20190703-sta-titration,Chemical Titration
0.250uM STA,121.27845324203554,20190703-sta-titration,Chemical Titration
0.250uM STA,220.60894895256826,20190703-sta-titration,Chemical Titration
0.250uM STA,225.04305395054038,20190703-sta-titration,Chemical Titration
0.250uM STA,296.452502664086,20190703-sta-titration,Chemical Titration
0.250uM STA,279.03609916934516,20190703-sta-titration,Chemical Titration
0.250uM STA,242.80873929786168,20190703-sta-titration,Chemical Titration
0.250uM STA,234.74626194284298,20190703-sta-titration,Chemical Titration
0.250uM STA,248.40749041855588,20190703-sta-titration,Chemical Titration
0.250uM STA,302.3045510125692,20190703-sta-titration,Chemical Titration
0.250uM STA,352.71912677818057,20190703-sta-titration,Chemical Titration
0.250uM STA,158.552330702677,20190703-sta-titration,Chemical Titration
0.250uM STA,249.75698543917665,20190703-sta-titration,Chemical Titration
0.250uM STA,240.53275226622628,20190703-sta-titration,Chemical Titration
0.250uM STA,245.6862640377044,20190703-sta-titration,Chemical Titration
0.250uM STA,334.85305324508744,20190703-sta-titration,Chemical Titration
0.250uM STA,221.85208550131424,20190703-sta-titration,Chemical Titration
0.250uM STA,381.0648548448884,20190703-sta-titration,Chemical Titration
0.250uM STA,155.50358656188678,20190703-sta-titration,Chemical Titration
0.250uM STA,279.4738031233586,20190703-sta-titration,Chemical Titration
0.250uM STA,267.4044368224408,20190703-sta-titration,Chemical Titration
0.250uM STA,218.3814561440606,20190703-sta-titration,Chemical Titration
0.250uM STA,196.4805919076236,20190703-sta-titration,Chemical Titration
0.250uM STA,252.7569334293948,20190703-sta-titration,Chemical Titration
0.250uM STA,222.17324472197998,20190703-sta-titration,Chemical Titration
0.250uM STA,178.4980290296022,20190703-sta-titration,Chemical Titration
0.250uM STA,210.68987514270046,20190703-sta-titration,Chemical Titration
0.250uM STA,239.93915740192367,20190703-sta-titration,Chemical Titration
0.250uM STA,276.9107768616643,20190703-sta-titration,Chemical Titration
0.250uM STA,335.4001494579886,20190703-sta-titration,Chemical Titration
0.250uM STA,209.4777498202438,20190703-sta-titration,Chemical Titration
0.250uM STA,349.382343046768,20190703-sta-titration,Chemical Titration
0.250uM STA,177.2956228461991,20190703-sta-titration,Chemical Titration
0.250uM STA,214.28511600512275,20190703-sta-titration,Chemical Titration
0.250uM STA,180.3713304465897,20190703-sta-titration,Chemical Titration
0.250uM STA,182.61623738239533,20190703-sta-titration,Chemical Titration
0.250uM STA,180.54066673528197,20190703-sta-titration,Chemical Titration
0.250uM STA,249.6346055287964,20190703-sta-titration,Chemical Titration
0.250uM STA,334.57916966409533,20190703-sta-titration,Chemical Titration
0.250uM STA,259.5566427410921,20190703-sta-titration,Chemical Titration
0.250uM STA,292.43965828999904,20190703-sta-titration,Chemical Titration
0.250uM STA,252.55535676966488,20190703-sta-titration,Chemical Titration
0.250uM STA,261.0826540905038,20190703-sta-titration,Chemical Titration
0.250uM STA,251.3019725725687,20190703-sta-titration,Chemical Titration
0.250uM STA,307.28398044408317,20190703-sta-titration,Chemical Titration
0.250uM STA,244.52265543454914,20190703-sta-titration,Chemical Titration
0.250uM STA,398.7762858787404,20190703-sta-titration,Chemical Titration
