,exp_grp,exp_name,exp_has_peptide,exp_sta_conc,exp_cell_count,exp_rep,xbin,value
73,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,02,3.016799599887059
74,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,03,3.011050246244579
75,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,04,2.9400769652876653
76,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,05,2.986804591736026
77,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,06,2.9738819773982965
78,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,07,2.9875883644463803
79,20190719-co-culture,02.5mT-np-0uMsta-XY03-3,No Peptide,0.000uM,02.50mT,r3,08,2.8597827962048092
80,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,00,3.72848397717388
81,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,01,3.5964304211507643
82,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,02,3.451202262543678
83,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,03,3.329425533876091
84,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,04,3.1998825640030804
85,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,05,3.1854734494528856
86,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,06,3.178758372040588
87,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,07,3.2846878184474875
88,20190719-co-culture,02.5mT-wp-0uMsta-XY01-1,w/ Peptide,0.000uM,02.50mT,r1,08,3.188719832544199
89,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,00,3.5053004070682525
90,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,01,3.8929250355950296
91,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,02,3.6794423206489815
92,20190719-co-culture,02.5mT-wp-0uMsta-XY02-2,w/ Peptide,0.000uM,02.50mT,r2,03,3.510519292923737
